bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G39000700010012,390070010012,G39000700010023,390070010023,0.004858299595,0.006329113924,0.007407407407,0.006993006993,0.006578947368,9.87732545e-4
G39000700010013,390070010013,G39000700010013,390070010013,1,1,1,1,1,1
G39000700010014,390070010014,G39000700010014,390070010014,1,1,1,1,1,1
G39000700010021,390070010021,G39000700010021,390070010021,1,1,1,1,1,1
G39000700010022,390070010022,G39000700010022,390070010022,0.984103343619,0.984110945518,0.99037492228,0.98641358077,0.990983279337,0.971531295017
G39000700010022,390070010022,G39000700010011,390070010011,0.015896656381,0.015889054482,0.00962507772,0.01358641923,0.009016720663,0.028468704983
G39000700010023,390070010023,G39000700010023,390070010023,1,1,1,1,1,1
G39000700011011,390070011011,G39000700011011,390070011011,1,1,1,1,1,1
G39000700011012,390070011012,G39000700011012,390070011012,0.997977755308,0.99730820996,0.997252747253,0.996466431095,0.995,0.983000217274
G39000700011012,390070011012,G39000700011022,390070011022,0.002022244692,0.00269179004,0.002747252747,0.003533568905,0.005,0.016999782726
G39000700011021,390070011021,G39000700011021,390070011021,1,1,1,1,1,1
G39000700011022,390070011022,G39000700011022,390070011022,1,1,1,1,1,1
G39000700011023,390070011023,G39000700011023,390070011023,1,1,1,1,1,1
G39000700011024,390070011024,G39000700011024,390070011024,1,1,1,1,1,1
G39000700012001,390070012001,G39000700012011,390070012011,1,1,1,1,1,1
G39000700012002,390070012002,G39000700012012,390070012012,1,1,1,1,1,1
G39000700012003,390070012003,G39000700012021,390070012021,1,1,1,1,1,1
G39000700012004,390070012004,G39000700012022,390070012022,1,1,1,1,1,1
G39000700012005,390070012005,G39000700012022,390070012022,2.65234451e-4,3.64345413e-4,3.00405583e-4,3.8563301e-4,2.65542266e-4,0.0014721116
G39000700012005,390070012005,G39000700012023,390070012023,0.999734765549,0.999635654587,0.999699594417,0.99961436699,0.999734457734,0.9985278884
G39000700012006,390070012006,G39000700012013,390070012013,1,1,1,1,1,1
G39000700013011,390070013011,G39000700013011,390070013011,1,1,1,1,1,1
G39000700013012,390070013012,G39000700013012,390070013012,1,1,1,1,1,1
G39000700013013,390070013013,G39000700013013,390070013013,1,1,1,1,1,1
G39000700013014,390070013014,G39000700013014,390070013014,1,1,1,1,1,1
G39000700013021,390070013021,G39000700013041,390070013041,1,1,1,1,1,0.999997540444
G39000700013021,390070013021,G39000700013013,390070013013,0,0,0,0,0,2.459556e-6
G39000700013022,390070013022,G39000700013031,390070013031,1,1,1,1,1,1
G39000700013023,390070013023,G39000700013032,390070013032,1,1,1,1,1,1
G39000700014001,390070014001,G39000700014011,390070014011,1,1,1,1,1,1
G39000700014002,390070014002,G39000700014021,390070014021,1,1,1,1,1,1
G39000700014003,390070014003,G39000700014022,390070014022,1,1,1,1,1,1
G39000700014004,390070014004,G39000700014023,390070014023,1,1,1,1,1,1
G39000700014005,390070014005,G39000700014012,390070014012,1,1,1,1,1,1
G39000709900000,390079900000,G39000709900000,390079900000,1,1,1,1,1,1
G39000909726001,390099726001,G39000909726001,390099726001,1,1,1,1,1,1
G39000909726002,390099726002,G39000909726002,390099726002,1,1,1,1,1,1
G39000909726003,390099726003,G39000909726003,390099726003,1,1,1,1,1,0.999921593283
G39000909726003,390099726003,G39000909727002,390099727002,0,0,0,0,0,7.8406717e-5
G39000909726004,390099726004,G39000909726004,390099726004,1,1,1,1,1,1
G39000909726005,390099726005,G39000909726005,390099726005,1,1,1,1,1,1
G39000909727001,390099727001,G39000909727003,390099727003,1,1,1,1,1,1
G39000909727002,390099727002,G39000909727003,390099727003,1,1,1,1,1,1
G39000909727003,390099727003,G39000909727001,390099727001,1,1,1,1,1,1
G39000909727004,390099727004,G39000909727002,390099727002,0.995555555556,0.994350282486,0.994565217391,0.995901639344,0.995305164319,0.999028800565
G39000909727004,390099727004,G39000909734003,390099734003,0.004444444444,0.005649717514,0.005434782609,0.004098360656,0.004694835681,9.71199435e-4
G39000909728001,390099728001,G39000909728001,390099728001,1,1,1,1,1,1
G39000909728001,390099728001,G39000909728002,390099728002,0,0,0,0,0,0
G39000909728002,390099728002,G39000909728002,390099728002,1,1,1,1,1,1
G39000909728003,390099728003,G39000909728002,390099728002,0,0,0,0,0,0
G39000909728003,390099728003,G39000909728003,390099728003,1,1,1,1,1,0.999934344734
G39000909728003,390099728003,G39000909727002,390099727002,0,0,0,0,0,6.5655266e-5
G39000909729001,390099729001,G39000909729001,390099729001,1,1,1,1,1,1
G39000909729001,390099729001,G39000909729004,390099729004,0,0,0,0,0,0
G39000909729002,390099729002,G39000909729002,390099729002,1,1,1,1,1,1
G39000909729003,390099729003,G39000909729003,390099729003,1,1,1,1,1,1
G39000909729004,390099729004,G39000909729004,390099729004,1,1,1,1,1,1
G39000909730001,390099730001,G39000909730002,390099730002,1,1,1,1,1,0.999075621075
G39000909730001,390099730001,G39000909730001,390099730001,0,0,0,0,0,9.24378925e-4
G39000909730002,390099730002,G39000909730002,390099730002,1,1,1,1,1,1
G39000909730003,390099730003,G39000909730002,390099730002,1,1,1,1,1,1
G39000909730004,390099730004,G39000909730001,390099730001,1,1,1,1,1,1
G39000909731011,390099731011,G39000909731011,390099731011,1,1,1,1,1,1
G39000909731012,390099731012,G39000909731012,390099731012,1,1,1,1,1,1
G39000909732001,390099732001,G39000909732001,390099732001,1,1,1,1,1,1
G39000909732002,390099732002,G39000909732002,390099732002,0.995264404104,0.993914807302,0.994152046784,1,0.994614003591,0.995590564484
G39000909732002,390099732002,G39000909731012,390099731012,0.004735595896,0.006085192698,0.005847953216,0,0.005385996409,0.004409435516
G39000909732003,390099732003,G39000909732003,390099732003,1,1,1,1,1,1
G39000909732004,390099732004,G39000909732004,390099732004,1,1,1,1,1,0.998364308917
G39000909732004,390099732004,G39000909733003,390099733003,0,0,0,0,0,0.001635691083
G39000909733001,390099733001,G39000909733001,390099733001,0.999770945501,0.999715564819,0.999714667983,0.999744588817,0.999678783337,0.99991808393
G39000909733001,390099733001,G39000909733003,390099733003,2.29054499e-4,2.84435181e-4,2.85332017e-4,2.55411183e-4,3.21216663e-4,8.191607e-5
G39000909733002,390099733002,G39000909733002,390099733002,1,1,1,1,1,0.997767963669
G39000909733002,390099733002,G39000909734001,390099734001,0,0,0,0,0,0.002232036331
G39000909733003,390099733003,G39000909733003,390099733003,0.999828953106,0.999818932032,0.999853615322,0.999769062835,0.999818934493,0.983577808582
G39000909733003,390099733003,G39000909732004,390099732004,0,0,0,0,0,0.012454243533
G39000909733003,390099733003,G39000909733001,390099733001,1.71046894e-4,1.81067968e-4,1.46384678e-4,2.30937165e-4,1.81065507e-4,0.003967947884
G39000909734001,390099734001,G39000909734001,390099734001,1,1,1,1,1,0.997794747282
G39000909734001,390099734001,G39000909733002,390099733002,0,0,0,0,0,0.002205252718
G39000909734002,390099734002,G39000909734002,390099734002,1,1,1,1,1,1
G39000909734003,390099734003,G39000909734003,390099734003,1,1,1,1,1,1
G39000909735001,390099735001,G39000909735001,390099735001,1,1,1,1,1,1
G39000909735002,390099735002,G39000909735002,390099735002,1,1,1,1,1,1
G39000909735003,390099735003,G39000909735003,390099735003,1,1,1,1,1,1
G39000909736001,390099736001,G39000909736001,390099736001,1,1,1,1,1,1
G39000909736002,390099736002,G39000909736002,390099736002,1,1,1,1,1,1
G39000909736003,390099736003,G39000909736003,390099736003,0.999411553094,0.999377580618,0.999347068727,0.999259549213,0.999415936026,0.999540127414
G39000909736003,390099736003,G39000909736001,390099736001,0,0,0,0,0,0
G39000909736003,390099736003,G39010509641001,391059641001,5.88446906e-4,6.22419382e-4,6.52931273e-4,7.40450787e-4,5.84063974e-4,4.59872586e-4
