region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi
394312,62,"Albuquerque, NM","msa","NM","2020.12.31",.0246406,.0279361,1207,44,.3756645,.3315533,1,248918,277967,26,972,971,2260,1164.098,241877.8
394312,62,"Albuquerque, NM","msa","NM","2020.04.30",.0224509,.0260672,996,40,.5169479,.2109502,.9960638,226552,262967,36,971,1071,2820,1097.939,220786.9
394312,62,"Albuquerque, NM","msa","NM","2020.09.30",.0227823,.0272178,1276,43,.393098,.3345779,1,242755,281600,26,1282,1321,2696,1132.482,231341.5
394312,62,"Albuquerque, NM","msa","NM","2018.10.31",.0237406,.0267767,1000,38,.6542536,.108684,.9847443,197977,241533,53,821,1150,4541,1022.068,197296.5
394312,62,"Albuquerque, NM","msa","NM","2020.06.30",.0226004,.0261329,1168,41,.4882206,.2326657,.999311,223569,274600,32,1160,1132,2843,1093.146,223755
394312,62,"Albuquerque, NM","msa","NM","2022.05.31",.0326091,.0371136,1037,36,.1991135,.6306973,1.020996,317741,341667,11,1035,1173,1776,1455.009,308658.5
394312,62,"Albuquerque, NM","msa","NM","2019.12.31",.0231541,.0273227,981,40,.6059259,.1400606,.9879434,217477,254900,50,846,832,3295,1083.917,214394.1
394312,62,"Albuquerque, NM","msa","NM","2020.02.29",.0233186,.028252,833,40,.6012942,.1482613,.9874416,221552,256800,52,870,830,2814,1094.408,217404.6
394312,62,"Albuquerque, NM","msa","NM","2021.01.31",.0244221,.0272583,951,44,.3912612,.3200841,1,250750,281300,29,846,846,2014,1174.29,245185.8
394312,62,"Albuquerque, NM","msa","NM","2021.04.30",.0267121,.0314759,1162,40,.3258053,.4334415,1.000139,263069,293333,18,1124,1115,1920,1225.34,257992.6
394312,62,"Albuquerque, NM","msa","NM","2023.03.31",.0247822,.0288406,744,35,.4795927,.2616194,.9963267,313215,365263,32,670,682,1588,1549.337,314016.7
394312,62,"Albuquerque, NM","msa","NM","2020.05.31",.0223162,.0256147,952,41,.4873585,.2341091,.999311,224017,267300,32,1063,1148,2890,1090.645,222295.3
394312,62,"Albuquerque, NM","msa","NM","2021.03.31",.026599,.0303401,1156,42,.3725936,.3695999,1,258460,288333,23,995,976,1878,1204.821,253424.3
394312,62,"Albuquerque, NM","msa","NM","2022.06.30",.0318904,.0356164,1118,37,.1992849,.621083,1.020257,319781,348333,11,1039,1247,1961,1465.529,312651.7
394312,62,"Albuquerque, NM","msa","NM","2022.01.31",.0308834,.0351765,825,41,.3182306,.4447803,1,299201,323000,19,804,756,1536,1393.202,286033.1
394312,62,"Albuquerque, NM","msa","NM","2021.08.31",.0298915,.0342862,1330,40,.2391501,.5412261,1.008061,279145,300000,13,1284,1426,2445,1319.376,273413.7
394312,62,"Albuquerque, NM","msa","NM","2019.09.30",.0235338,.0271667,1083,40,.5661989,.1783754,.9905874,213667,254133,42,1112,1276,3895,1071.796,210638
394312,62,"Albuquerque, NM","msa","NM","2021.10.31",.0295519,.0337895,1214,40,.2814439,.4719222,1,279709,314833,16,1175,1228,2359,1358.533,276902
394312,62,"Albuquerque, NM","msa","NM","2021.02.28",.025588,.0289557,919,43,.3977823,.322581,1,255379,283000,28,889,851,1896,1188.909,249085.9
394312,62,"Albuquerque, NM","msa","NM","2019.01.31",.0229897,.0263517,719,38,.6853077,.0975235,.9827595,204843,243500,69,760,764,3694,1033.543,199650.4
394312,62,"Albuquerque, NM","msa","NM","2022.08.31",.0288492,.0331231,1007,36,.2761341,.4963579,1.005376,314599,356667,16,1008,1193,2278,1471.431,315772.9
394312,62,"Albuquerque, NM","msa","NM","2019.03.31",.02258,.0260006,982,38,.663672,.1179548,.9844611,205805,248000,64,963,1029,3477,1040.444,202964.5
394312,62,"Albuquerque, NM","msa","NM","2019.05.31",.0232416,.0264791,1315,38,.5691698,.1574928,.9905346,212939,252094,47,1232,1395,3751,1049.013,206520.3
394312,62,"Albuquerque, NM","msa","NM","2020.03.31",.0232105,.0272142,987,40,.5638558,.1746231,.9913623,225087,259500,45,983,1047,2838,1100.819,219047
