,region_id,size_rank,region_name,region_type,state_name,date,price_cut_perc_median,price_cut_perc_mean,sales_count_nowcast,mean_days_upto_close,pct_sold_below_list,pct_sold_above_list,median_sale_to_list_ratio,median_sale_price,median_list_price,mean_days_pending,new_pending_count,new_listings_count,invt_for_sale,zori_calc,zhvi,year,state,est_num_sold_below_list
76,395059,36,"San Jose, CA",msa,CA,2018-08-31,0.0431730031,0.04893137597,1403.0,29.0,0.2083155428,0.7302410976,1.039498044,1137881,1170333.0,24.0,815.0,1518,3025,3005.855307,1211007.18,2018,7,292.2667065484
77,395078,15,"Seattle, WA",msa,WA,2018-08-31,0.03037991197,0.03442486164,5945.0,31.0,0.3368603451,0.4905180707,1.003921569,441016,514667.0,21.0,4822.0,6429,13567,1768.294757,515465.9176,2018,36,2002.6347516195
78,395115,85,"Springfield, MA",msa,MA,2018-08-31,0.0309192801,0.03532088082,873.0,49.0,0.4896429123,0.3511280326,0.9981094493,207583,249600.0,38.0,574.0,867,2640,1305.908878,238160.8086,2018,12,427.45826243790003
79,395121,21,"St. Louis, MO",msa,MO,2018-08-31,0.02950956417,0.03480497469,4343.0,39.0,0.5555167292,0.2685023727,0.9904885175,175910,203150.0,41.0,3653.0,4780,16088,1025.81345,166633.9926,2018,22,2412.6091549156
80,395134,77,"Stockton, CA",msa,CA,2018-08-31,0.02469171486,0.02755053355,761.0,33.0,0.368365326,0.445815182,1.0,359019,383283.0,30.0,630.0,814,1950,1781.20897,374681.2979,2018,7,280.326013086
81,395143,91,"Syracuse, NY",msa,NY,2018-08-31,0.0369034918,0.04236072292,908.0,46.0,0.5039606936,0.3776097484,0.9963063412,139838,159983.0,58.0,466.0,928,3357,1048.72554,142635.45,2018,2,457.59630978879994
82,395148,18,"Tampa, FL",msa,FL,2018-08-31,0.02378993759,0.0273772342,5880.0,44.0,0.6658315153,0.1591246609,0.9807719669,208068,250600.0,44.0,1762.0,5924,18997,1329.21232,216084.586,2018,14,3915.0893099639998
83,395160,93,"Toledo, OH",msa,OH,2018-08-31,0.03816389047,0.04459079532,745.0,42.0,0.6228289282,0.2285381314,0.9834556278,126737,157600.0,43.0,751.0,1039,3330,899.9185121,127792.2796,2018,1,464.007551509
84,395167,54,"Tucson, AZ",msa,AZ,2018-08-31,0.02509325264,0.02815959076,1566.0,37.0,0.5713072534,0.1895971997,0.9893425551,199613,249800.0,41.0,1347.0,1494,4746,1049.734907,205089.6767,2018,32,894.6671588244
85,395169,56,"Tulsa, OK",msa,OK,2018-08-31,0.02361359088,0.02831020674,1497.0,38.0,0.5958682812,0.2161992461,0.9872787822,157280,199966.0,61.0,707.0,1710,6679,979.2670076,140587.7169,2018,30,892.0148169564001
86,395194,38,"Virginia Beach, VA",msa,VA,2018-08-31,0.02293471817,0.02687071109,2651.0,33.0,0.5323399582,0.1717373991,0.9933567982,231691,266583.0,73.0,1114.0,3065,12707,1210.219116,239858.0396,2018,35,1411.2332291882
87,395209,6,"Washington, DC",msa,VA,2018-08-31,0.02317580592,0.02660057738,8524.0,40.0,0.4271965088,0.3057939473,1.0,386435,434933.0,36.0,5773.0,8311,23728,1927.132363,414805.9118,2018,37,3641.4230410112
88,395224,94,"Wichita, KS",msa,KS,2018-08-31,0.02868364469,0.03383407263,433.0,36.0,0.5416724173,0.2263973254,0.9932015184,146216,184400.0,45.0,468.0,1000,3065,768.9929417,130459.3042,2018,38,234.54415669090002
89,395235,89,"Winston, NC",msa,NC,2018-08-31,0.02817422754,0.03415820605,966.0,25.0,0.5884036137,0.2897258527,0.9880731428,152371,207600.0,56.0,928.0,920,3278,1125.049239,148770.3774,2018,16,568.3978908342001
90,395238,58,"Worcester, MA",msa,MA,2018-08-31,0.02871703221,0.03318062936,1359.0,50.0,0.4475445156,0.4192003864,0.9995828185,257283,299600.0,29.0,871.0,1406,3776,1397.501863,293065.878,2018,12,608.2129967004
